match_id,team_name,series_win,maps_won,maps_lost,series_kills,series_deaths,series_damage,series_kdr,avg_bp_rtg,bp_std,bp_max,top_kills_share,bp_range,date_utc,best_of,stage,is_lan
93877,Minnesota RØKKR,1,3,1,375,356,45776,1.053370786516854,1.065,0.1096965511460288,1.18,0.272,0.11499999999999999,2025-02-01 08:30:00+00:00,5,major,1
93877,Cloud9 New York,0,1,3,356,375,44839,0.9493333333333334,0.935,0.11239810200058248,1.08,0.29213483146067415,0.14500000000000013,2025-02-01 08:30:00+00:00,5,major,1
93878,Los Angeles Thieves,1,3,0,261,232,33785,1.125,1.22,0.1067707825203132,1.37,0.2835249042145594,0.15000000000000013,2025-02-01 10:00:00+00:00,5,major,1
93878,Miami Heretics,0,0,3,232,261,31961,0.8888888888888888,0.7799999999999999,0.12110601416389967,0.9,0.28448275862068967,0.12,2025-02-01 10:00:00+00:00,5,major,1
93879,Toronto Ultra,0,0,3,235,252,30380,0.9325396825396826,0.8725,0.1335102992281869,1.04,0.2765957446808511,0.16749999999999998,2025-02-01 11:30:00+00:00,5,major,1
93879,Atlanta FaZe,1,3,0,250,235,31674,1.0638297872340423,1.1275,0.05499999999999992,1.2,0.264,0.07250000000000001,2025-02-01 11:30:00+00:00,5,major,1
93880,Miami Heretics,1,3,2,369,378,49672,0.9761904761904762,1.04,0.06164414002968979,1.08,0.27371273712737126,0.040000000000000036,2025-02-01 13:00:00+00:00,5,major,1
93880,Minnesota RØKKR,0,2,3,378,369,49047,1.024390243902439,0.9625,0.07365459931328117,1.04,0.2804232804232804,0.07750000000000001,2025-02-01 13:00:00+00:00,5,major,1
93881,Toronto Ultra,0,2,3,383,363,49619,1.0550964187327825,1.065,0.06557438524301996,1.16,0.26370757180156656,0.09499999999999997,2025-02-01 14:30:00+00:00,5,major,1
93881,Carolina Royal Ravens,1,3,2,363,383,48899,0.9477806788511748,0.935,0.052599112793531674,1.01,0.2699724517906336,0.07499999999999996,2025-02-01 14:30:00+00:00,5,major,1
