match_id,team_name,series_win,maps_won,maps_lost,series_kills,series_deaths,series_damage,series_kdr,avg_bp_rtg
93929,Vancouver Surge,0,2,3,310,310,40673,1.0,0.975
93930,Los Angeles Thieves,1,3,0,195,130,22901,1.5,1.395
93930,OpTic Texas,0,0,3,130,195,18609,0.6666666666666666,0.6025
93931,Carolina Royal Ravens,1,3,0,232,187,29484,1.2406417112299466,1.2225
93931,Miami Heretics,0,0,3,187,232,25850,0.8060344827586207,0.775
93932,Miami Heretics,0,1,3,334,341,42784,0.9794721407624634,0.885
93932,Boston Breach,1,3,1,341,335,43488,1.017910447761194,1.1125
93933,Los Angeles Thieves,1,3,1,299,273,37652,1.0952380952380953,1.2049999999999998
93933,Minnesota RØKKR,0,1,3,273,299,35972,0.9130434782608695,0.7975
93934,Vegas Falcons,0,1,3,347,356,45561,0.9747191011235955,0.9025
93934,Carolina Royal Ravens,1,3,1,355,347,44429,1.0230547550432276,1.0975
93935,LA Guerrillas M8,0,1,3,340,349,43846,0.9742120343839542,0.9625
93935,Atlanta FaZe,1,3,1,349,340,43554,1.026470588235294,1.035
93936,LA Guerrillas M8,0,1,3,263,312,34782,0.842948717948718,0.8075
93936,OpTic Texas,1,3,1,312,264,38049,1.1818181818181819,1.1925000000000001
93937,Minnesota RØKKR,0,1,3,287,318,38875,0.9025157232704403,0.915
93937,Vancouver Surge,1,3,1,318,288,39955,1.1041666666666667,1.0825
93938,Cloud9 New York,0,1,3,299,328,37899,0.9115853658536586,0.865
93938,Atlanta FaZe,1,3,1,328,299,40618,1.0969899665551839,1.135
93939,Carolina Royal Ravens,0,0,3,263,284,33764,0.926056338028169,0.845
93939,Vancouver Surge,1,3,0,284,263,34866,1.079847908745247,1.1575
93940,Toronto Ultra,0,0,3,244,266,31465,0.9172932330827067,0.8775000000000001
93940,Cloud9 New York,1,3,0,266,244,32693,1.0901639344262295,1.12
93941,Los Angeles Thieves,0,1,3,360,375,44696,0.96,0.9925000000000002
93941,Boston Breach,1,3,1,374,360,46929,1.038888888888889,1.005
93942,Atlanta FaZe,1,3,0,233,194,29107,1.2010309278350515,1.3
93942,Minnesota RØKKR,0,0,3,194,233,24873,0.8326180257510729,0.7025
93943,Miami Heretics,0,1,3,378,359,46619,1.052924791086351,0.9575
93943,Los Angeles Thieves,1,3,1,359,378,46202,0.9497354497354498,1.04
93944,Vegas Falcons,0,0,3,157,203,23945,0.7733990147783252,0.7150000000000001
93944,Carolina Royal Ravens,1,3,0,203,157,25431,1.2929936305732483,1.2825
93945,OpTic Texas,1,3,0,209,178,26606,1.1741573033707866,1.2925
93945,Minnesota RØKKR,0,0,3,178,209,24534,0.8516746411483254,0.7075
93946,LA Guerrillas M8,0,0,3,168,220,21922,0.7636363636363637,0.695
93946,Toronto Ultra,1,3,0,220,169,26805,1.301775147928994,1.305
