match_id,player_name,team_name,kills,deaths,damage,bp_rtg
93893,D7oomx,Vegas Falcons,81,65,11564,1.06
93893,Exnid,Vegas Falcons,65,83,7696,0.69
93893,KiinG,Vegas Falcons,70,85,9225,0.8
93893,WXSL,Vegas Falcons,65,80,8135,0.79
93893,Envoy,Los Angeles Thieves,71,76,8647,1.08
93893,Ghosty,Los Angeles Thieves,79,64,9799,1.2
93893,HyDra,Los Angeles Thieves,92,68,9113,1.27
93893,Scrap,Los Angeles Thieves,70,73,11061,1.11
93894,Gwinn,Carolina Royal Ravens,85,94,10635,0.84
93894,SlasheR,Carolina Royal Ravens,78,90,11268,0.9
93894,TJHaLy,Carolina Royal Ravens,83,97,10643,0.79
93894,Vivid,Carolina Royal Ravens,92,81,11527,1.01
93894,Beans,Toronto Ultra,83,80,11698,1.11
93894,CleanX,Toronto Ultra,87,93,10317,1.0
93894,Insight,Toronto Ultra,82,85,10971,1.04
93894,JoeDeceives,Toronto Ultra,109,80,12140,1.31
93895,04,Vancouver Surge,100,86,11188,1.22
93895,Abuzah,Vancouver Surge,76,86,11183,0.99
93895,Nastie,Vancouver Surge,85,93,11064,1.07
93895,Neptune,Vancouver Surge,110,99,12842,1.11
93895,Attach,Cloud9 New York,83,87,10956,0.88
93895,Kremp,Cloud9 New York,102,95,11177,0.99
93895,Mack,Cloud9 New York,86,100,11234,0.83
93895,Sib,Cloud9 New York,93,89,13034,0.91
93896,Dashy,OpTic Texas,73,73,10409,0.96
93896,Kenny,OpTic Texas,53,90,8424,0.59
93896,Pred,OpTic Texas,75,72,8953,0.91
93896,Shotzzy,OpTic Texas,69,74,7156,0.93
93896,Estreal,Minnesota RØKKR,74,64,9137,1.14
93896,Gio,Minnesota RØKKR,68,66,8443,1.12
93896,Nero,Minnesota RØKKR,90,75,10316,1.21
93896,PaulEhx,Minnesota RØKKR,77,65,9359,1.14
93897,Estreal,Minnesota RØKKR,51,51,6493,1.01
93897,Gio,Minnesota RØKKR,41,51,5600,0.76
93897,Nero,Minnesota RØKKR,44,53,5446,0.7
93897,PaulEhx,Minnesota RØKKR,50,57,7164,0.84
93897,Gwinn,Carolina Royal Ravens,62,43,6761,1.31
93897,SlasheR,Carolina Royal Ravens,48,44,6373,1.13
93897,TJHaLy,Carolina Royal Ravens,50,52,6620,1.11
93897,Vivid,Carolina Royal Ravens,51,47,6892,1.15
93898,Lucky,Miami Heretics,49,47,7346,1.02
93898,MettalZ,Miami Heretics,61,56,7225,1.2
93898,ReeaL,Miami Heretics,64,53,7245,1.19
93898,RenKoR,Miami Heretics,48,54,6844,1.04
93898,KiSMET,LA Guerrillas M8,61,62,6893,0.89
93898,Lunarz,LA Guerrillas M8,43,49,6390,0.84
93898,Lynz,LA Guerrillas M8,55,58,6887,0.84
93898,Skyz,LA Guerrillas M8,50,53,7844,0.98
93899,D7oomx,Vegas Falcons,41,48,5386,0.69
93899,Exnid,Vegas Falcons,42,53,4813,0.54
93899,KiinG,Vegas Falcons,37,49,5115,0.59
93899,WXSL,Vegas Falcons,39,43,5187,0.71
93899,Attach,Cloud9 New York,44,35,5570,1.31
93899,Kremp,Cloud9 New York,57,43,6676,1.46
93899,Mack,Cloud9 New York,46,42,4993,1.37
93899,Sib,Cloud9 New York,46,39,6845,1.33
93900,aBeZy,Atlanta FaZe,84,74,10302,1.23
93900,Cellium,Atlanta FaZe,96,66,11927,1.34
93900,Drazah,Atlanta FaZe,88,73,11857,1.27
93900,Simp,Atlanta FaZe,107,66,11718,1.42
93900,Lucky,Miami Heretics,63,92,9711,0.67
93900,MettalZ,Miami Heretics,71,93,9118,0.69
93900,ReeaL,Miami Heretics,69,102,8832,0.67
93900,RenKoR,Miami Heretics,76,88,10231,0.7
93901,Gwinn,Carolina Royal Ravens,62,48,6926,1.44
93901,SlasheR,Carolina Royal Ravens,53,43,6256,1.36
93901,TJHaLy,Carolina Royal Ravens,60,39,6482,1.45
93901,Vivid,Carolina Royal Ravens,42,50,6335,1.15
93901,Dashy,OpTic Texas,41,58,6358,0.59
93901,Kenny,OpTic Texas,45,57,5863,0.64
93901,Pred,OpTic Texas,41,52,5358,0.62
93901,Shotzzy,OpTic Texas,53,50,6167,0.75
93902,KiSMET,LA Guerrillas M8,92,97,11840,0.91
93902,Lunarz,LA Guerrillas M8,95,88,11211,1.0
93902,Lynz,LA Guerrillas M8,92,88,10806,0.99
93902,Skyz,LA Guerrillas M8,65,91,9796,0.83
93902,04,Vancouver Surge,77,87,9124,0.97
93902,Abuzah,Vancouver Surge,86,88,10784,1.03
93902,Nastie,Vancouver Surge,87,82,11581,1.14
93902,Neptune,Vancouver Surge,114,87,12934,1.14
93903,Beans,Toronto Ultra,83,98,11649,1.01
93903,CleanX,Toronto Ultra,103,89,12042,1.11
93903,Insight,Toronto Ultra,87,84,11868,0.95
93903,JoeDeceives,Toronto Ultra,100,104,12333,1.01
93903,Cammy,Boston Breach,92,94,13284,0.95
93903,Owakening,Boston Breach,80,97,12069,0.87
93903,Purj,Boston Breach,92,93,10840,0.97
93903,Snoopy,Boston Breach,111,89,12160,1.13
93904,Estreal,Minnesota RØKKR,52,29,6330,1.41
93904,Gio,Minnesota RØKKR,46,28,5216,1.4
93904,Nero,Minnesota RØKKR,50,47,5746,1.32
93904,PaulEhx,Minnesota RØKKR,39,46,5646,1.18
93904,D7oomx,Vegas Falcons,45,46,6100,0.69
93904,Exnid,Vegas Falcons,33,49,4552,0.61
93904,KiinG,Vegas Falcons,33,45,4792,0.68
93904,WXSL,Vegas Falcons,39,47,5235,0.72
93905,Beans,Toronto Ultra,59,72,8770,0.69
93905,CleanX,Toronto Ultra,58,77,8394,0.6
93905,Insight,Toronto Ultra,60,66,7834,0.8
93905,JoeDeceives,Toronto Ultra,83,76,9322,0.79
93905,Envoy,Los Angeles Thieves,77,65,9181,1.26
93905,Ghosty,Los Angeles Thieves,58,60,7978,1.11
